type,data_type,purpose,count
data_collected,Name,Personalization,1834
data_collected,Other info,Analytics,1032
data_collected,Other info,Advertising or marketing,645
data_collected,Other info,Personalization,1090
data_collected,Other in-app messages,"Fraud prevention, security, and compliance",489
data_collected,Contacts,Analytics,161
data_collected,Email address,Analytics,1515
data_shared,Photos,App functionality,760
data_shared,Device or other IDs,Account management,1027
data_collected,Email address,Personalization,1421
data_collected,Address,Analytics,278
data_collected,Address,Personalization,380
data_collected,Phone number,Analytics,358
data_collected,Phone number,Developer communications,533
data_collected,Phone number,Personalization,359
data_collected,Race and ethnicity,App functionality,195
data_collected,Race and ethnicity,Analytics,60
data_collected,Race and ethnicity,Personalization,96
data_collected,Race and ethnicity,Account management,42
data_collected,Sexual orientation,Analytics,172
data_collected,Health info,App functionality,431
data_collected,Health info,Account management,44
data_collected,Name,Developer communications,1551
data_collected,Sexual orientation,Developer communications,46
data_collected,Other info,"Fraud prevention, security, and compliance",800
data_collected,User payment info,"Fraud prevention, security, and compliance",518
data_collected,Purchase history,Developer communications,615
data_collected,Purchase history,Account management,1079
data_collected,Other financial info,App functionality,290
data_collected,Other financial info,"Fraud prevention, security, and compliance",143
data_collected,App interactions,Developer communications,983
data_collected,Device or other IDs,Developer communications,2599
data_shared,Name,"Fraud prevention, security, and compliance",430
data_shared,Email address,Advertising or marketing,933
data_shared,Address,"Fraud prevention, security, and compliance",221
data_shared,Phone number,"Fraud prevention, security, and compliance",279
data_collected,Name,Advertising or marketing,1137
data_collected,User payment info,Account management,419
data_collected,Web browsing history,Analytics,185
data_shared,Photos,Advertising or marketing,43
data_shared,User IDs,Developer communications,739
data_shared,User IDs,Advertising or marketing,1790
data_shared,User IDs,Personalization,622
data_collected,Approximate location,Developer communications,850
data_collected,Phone number,Advertising or marketing,429
data_collected,Contacts,"Fraud prevention, security, and compliance",80
data_shared,Approximate location,Developer communications,430
data_shared,Approximate location,Account management,270
data_shared,Purchase history,Personalization,330
data_collected,Installed apps,Personalization,197
data_shared,In-app search history,Advertising or marketing,257
data_collected,Precise location,Account management,202
data_collected,Sexual orientation,"Fraud prevention, security, and compliance",77
data_collected,Other in-app messages,Account management,191
data_collected,Crash logs,Developer communications,679
data_collected,Other app performance data,Account management,215
data_collected,App interactions,Account management,472
data_collected,Political or religious beliefs,Personalization,84
data_collected,Other in-app messages,Personalization,260
data_collected,Other in-app messages,Advertising or marketing,220
data_shared,Email address,Analytics,568
data_collected,Other financial info,Analytics,66
data_collected,Other financial info,Personalization,52
data_collected,Emails,Account management,399
data_shared,In-app search history,App functionality,294
data_shared,In-app search history,"Fraud prevention, security, and compliance",51
data_collected,In-app search history,"Fraud prevention, security, and compliance",158
data_collected,Other info,Developer communications,314
data_collected,Health info,Personalization,154
data_collected,Fitness info,Personalization,193
data_shared,Other in-app messages,Analytics,142
data_shared,Other in-app messages,Developer communications,249
data_shared,Purchase history,Account management,219
data_shared,App interactions,Account management,214
data_shared,In-app search history,Developer communications,98
data_shared,Other app performance data,Developer communications,303
data_shared,Name,Developer communications,366
data_collected,Credit score,App functionality,95
data_collected,User payment info,Analytics,190
data_collected,User payment info,Developer communications,52
data_collected,User payment info,Advertising or marketing,70
data_collected,User payment info,Personalization,97
data_collected,Other financial info,Developer communications,31
data_collected,Other financial info,Advertising or marketing,44
data_collected,Other user-generated content,Developer communications,183
data_shared,Web browsing history,Analytics,81
data_shared,Web browsing history,Advertising or marketing,88
data_shared,Web browsing history,"Fraud prevention, security, and compliance",27
data_collected,Web browsing history,Advertising or marketing,136
data_collected,Web browsing history,"Fraud prevention, security, and compliance",61
data_shared,Photos,Personalization,129
data_collected,Installed apps,"Fraud prevention, security, and compliance",199
data_collected,Credit score,"Fraud prevention, security, and compliance",64
data_collected,Emails,Advertising or marketing,192
data_collected,SMS or MMS,App functionality,175
data_collected,SMS or MMS,Advertising or marketing,25
data_collected,SMS or MMS,"Fraud prevention, security, and compliance",64
data_collected,SMS or MMS,Account management,79
data_collected,Address,Advertising or marketing,303
data_shared,Race and ethnicity,Analytics,33
data_collected,Diagnostics,Developer communications,570
data_shared,Other info,App functionality,493
data_shared,Other info,Account management,283
data_shared,Name,Analytics,418
data_shared,Name,Personalization,441
data_shared,Purchase history,Developer communications,223
data_collected,Videos,Personalization,135
data_collected,Voice or sound recordings,Personalization,77
data_shared,Emails,App functionality,154
data_shared,Emails,Developer communications,113
data_shared,Emails,Account management,116
data_shared,Installed apps,App functionality,182
data_shared,Installed apps,Analytics,365
data_shared,Installed apps,Advertising or marketing,267
data_shared,Installed apps,"Fraud prevention, security, and compliance",103
data_shared,Installed apps,Personalization,92
data_shared,Installed apps,Account management,48
data_shared,Crash logs,Account management,138
data_shared,Diagnostics,Account management,119
data_shared,Other app performance data,Account management,108
data_collected,In-app search history,Advertising or marketing,411
data_collected,Installed apps,App functionality,556
data_shared,Other audio files,App functionality,109
data_collected,Other audio files,App functionality,272
data_shared,Name,Advertising or marketing,527
data_shared,Other info,Advertising or marketing,384
data_shared,Email address,Personalization,397
data_shared,Address,Analytics,175
data_shared,Address,Developer communications,55
data_shared,Address,Advertising or marketing,167
data_shared,Address,Personalization,114
data_shared,In-app search history,Personalization,229
data_collected,Address,Developer communications,132
data_collected,In-app search history,Developer communications,168
data_shared,Credit score,App functionality,60
data_shared,Credit score,"Fraud prevention, security, and compliance",20
data_collected,Credit score,Analytics,21
data_collected,Credit score,Developer communications,11
data_collected,Credit score,Account management,44
data_shared,Race and ethnicity,Advertising or marketing,51
data_shared,Political or religious beliefs,Advertising or marketing,50
data_shared,Sexual orientation,Advertising or marketing,76
data_shared,Other info,Analytics,374
data_shared,Other info,"Fraud prevention, security, and compliance",241
data_collected,Race and ethnicity,Advertising or marketing,63
data_collected,Political or religious beliefs,App functionality,167
data_collected,Political or religious beliefs,Advertising or marketing,41
data_collected,Sexual orientation,Advertising or marketing,115
data_shared,Phone number,Personalization,123
data_shared,Race and ethnicity,Personalization,64
data_shared,Political or religious beliefs,Personalization,63
data_shared,Sexual orientation,Personalization,97
data_shared,Other info,Personalization,238
data_shared,Other financial info,App functionality,128
data_shared,Health info,Personalization,50
data_shared,Fitness info,Personalization,78
data_shared,Videos,Personalization,78
data_shared,Music files,App functionality,104
data_shared,Calendar events,App functionality,81
data_shared,Other user-generated content,App functionality,428
data_shared,Web browsing history,App functionality,68
data_collected,Precise location,Developer communications,197
data_collected,Contacts,Personalization,186
data_collected,Contacts,Account management,147
data_collected,Web browsing history,App functionality,158
data_collected,Web browsing history,Personalization,102
data_shared,Fitness info,App functionality,110
data_shared,Phone number,Advertising or marketing,222
data_shared,Phone number,Analytics,176
data_collected,Contacts,Developer communications,49
data_collected,Contacts,Advertising or marketing,74
data_collected,Crash logs,Account management,246
data_collected,Diagnostics,Account management,243
data_collected,Other app performance data,Developer communications,427
data_shared,Health info,App functionality,76
data_collected,Fitness info,Analytics,176
data_collected,Fitness info,Advertising or marketing,43
